herb_cn_name	herb_pinyin	herb_en_name	child_cn_name	child_en_name
草苁蓉	Caocongrong	Boschniakia Rossica Herba	补阳药	Yang Reinforcing Drugs
草果	Caoguo	Amomum Tsao-Ko Crevostet	化湿药	Dampness Removing Drugs
草乌	Caowu	Aconitum Kusnezoffii Reichb	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
草乌叶	Caowuye	Radix Aconiti Kusnezoffii	清热解毒药	Antipyretic Detoxicate Drugs
侧柏叶	Cebaiye	Platycladi Cacumen	凉血止血药	Blood-Cooling Hemostatic Medicinal
柴胡	Chaihu	Radix Bupleuri	辛凉解表药	Pungent Cool Diaphoretics
蝉蜕	Chantui	Cicadae Periostracum	辛凉解表药	Pungent Cool Diaphoretics
常山	Changshan	Dichroae Radix	涌吐药	Emetic Medicinal
车前草	Cheqiancao	Plantaginis Herba	利水渗湿药	Diuretic Dampness Excreting Drugs
车前子	Cheqianzi	Plantaginis Semen	利水渗湿药	Diuretic Dampness Excreting Drugs
沉香	Chenxiang	Linderae Radix	理气药	Qi Regulating Drugs
陈皮	Chenpi	Citrus Reticulata	理气药	Qi Regulating Drugs
赤芍	Chishao	Radix Paeoniae Rubra	清热凉血药	Heat Clearing Blood Cooling Drugs
赤小豆	Chixiaodou	Phaseoli Semen	利水渗湿药	Diuretic Dampness Excreting Drugs
茺蔚子	Chongweizi	Leonuri Fructus	活血祛瘀药	Blood Activating Stasis Removing Drugs
臭梧桐	Chouwutong	Clerodendrum Trichotomum Thunb	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
楮实子	Chushiziu	Broussonetiae Fructus	补阴药	Yin-Tonifying Medicinal
川贝母	Chuanbeimu	Fritiliariae Irrhosae Bulbus	化痰药	Phlegresolving Medicine
川槿皮	Chuanjinpi	Cortex Hibisci	清热解毒药	Antipyretic Detoxicate Drugs
川楝子	Chuanlianzi	Toosendan Fructus	理气药	Qi Regulating Drugs
川木通	Chuanmutong	Clematidis Armandii Caulis	利水渗湿药	Diuretic Dampness Excreting Drugs
川牛膝	Chuanniuxi	Cyathulae Radix	活血祛瘀药	Blood Activating Stasis Removing Drugs
川射干	Chuanshegan	Iridis Tectori Rhizoma	清热解毒药	Antipyretic Detoxicate Drugs
川乌	Chuanwu	Aconiti Radix	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
川芎	Chuanxiong	Chuanxiong Rhizoma	活血祛瘀药	Blood Activating Stasis Removing Drugs
穿山龙	Chuanshanlong	Rhizoma Dioscoreae Nipponicae	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
穿心莲	Chuanxinlian	Andrographis Herba	清热解毒药	Antipyretic Detoxicate Drugs
垂盆草	Chuipencao	Sedi Herba	清热解毒药	Antipyretic Detoxicate Drugs
椿皮	Chunpi	Ailanthi Cortex	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
葱白	Congbai	Allii Fistulost Bulbus	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
大风子	Dafengzi	Hydnocarpi Anthelminticae Semen	解毒杀虫燥湿止痒药	Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching
大腹皮	Dafupi	Areca Catechu L.	理气药	Qi Regulating Drugs
大黄	Dahuang	Radix Rhei Et Rhizome	攻下药	Offensive Purgative Medicinal
大蓟	Daji	Radix Cirsii Japonici	凉血止血药	Blood-Cooling Hemostatic Medicinal
大青叶	Daqingye	Isatidis Folium	清热解毒药	Antipyretic Detoxicate Drugs
大蒜	Dasuan	Allii Sativi Bulbus	解毒杀虫燥湿止痒药	Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching
大血藤	Daxueteng	Sargentodoxae Caulis	清热解毒药	Antipyretic Detoxicate Drugs
大枣	Dazao	Jujubae Fructus	补气药	Qi Reinforcing Drugs
大皂荚	Dazaojia	Gleditsiae Fructus	化痰药	Phlegresolving Medicine
玳玳花	Daidaihua	Citrus Aurantium	理气药	Qi Regulating Drugs
丹参	Danshen	Radix Salviae	活血祛瘀药	Blood Activating Stasis Removing Drugs
淡豆豉	Dandouchi	Sojae Semen Praeparatum	辛凉解表药	Pungent Cool Diaphoretics
当归	Danggui	Angelicae Sinensis Radix	补血药	Blood-Tonifying Medicinal
党参	Dangshen	Codonopsis Radix	补气药	Qi Reinforcing Drugs
刀豆	Daodou	Canavaliae Semen	理气药	Qi Regulating Drugs
倒扣草	Daokoucao	Achyranthis Asperae Herba	活血祛瘀药	Blood Activating Stasis Removing Drugs
灯心草	Dengxincao	Junci Medulla	利水渗湿药	Diuretic Dampness Excreting Drugs
地耳草	Diercao	Hyperici Japonici Herber	利水渗湿药	Diuretic Dampness Excreting Drugs
地枫皮	Difengpi	Illicium Difengpi K. L. B. Et K. I. M.	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
地肤子	Difuzi	Kochiae Fructus	利水渗湿药	Diuretic Dampness Excreting Drugs
地骨皮	Digupi	Lycii Cortex	清虚热药	Asthenic Heat Dispelling Drugs
地锦草	Dijincao	Euphorbiae Humifusae Herba	清热解毒药	Antipyretic Detoxicate Drugs
地榆	Diyu	Radix Sanguisorbae	凉血止血药	Blood-Cooling Hemostatic Medicinal
丁公藤	Dinggongteng	Erycibe Obtusifolia Benth	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
丁香	Dingxiang	Caryophylliflos	温里药	Warming Interior Drugs
冬虫夏草	Dongchongxiacao	Corayceps	补阳药	Yang Reinforcing Drugs
冬瓜皮	Dongguapi	Benincasae Exocarpium	利水渗湿药	Diuretic Dampness Excreting Drugs
冬瓜子	Dongguazi	Benincasae Semen	化痰药	Phlegresolving Medicine
冬葵果	Dongkuiguo	Malvae Fructus	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
豆蔻	Doukou	Alpinia Katsumadai Hayat	化湿药	Dampness Removing Drugs
独活	Duhuo	Radix Angelicae Biseratae	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
杜仲	Duzhong	Eucommiae Cortex	补阳药	Yang Reinforcing Drugs
杜仲叶	Duzhongye	Eucommiae Folium	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
断血流	Duanxueliu	Herba Clinopodii Polycephali.	凉血止血药	Blood-Cooling Hemostatic Medicinal
莪术	Ezhu	Curcumae Rhizoma	活血祛瘀药	Blood Activating Stasis Removing Drugs
鹅不食草	Ebushicao	Centipedae Herba	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
儿茶	Ercha	Catechu	活血祛瘀药	Blood Activating Stasis Removing Drugs
番泻叶	Fanxieye	Sennae Folium	攻下药	Offensive Purgative Medicinal
翻白草	Fanbaicao	Potentillae Discoloris Herba	清热解毒药	Antipyretic Detoxicate Drugs
防风	Fangfeng	Saposhnikoviae Radix	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
防己	Fangji	Stephaniae Tetrandrae Radix	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
粉萆薢	Fenbixie	Dioscoreae Hypoglaucae Rhizoma	利水渗湿药	Diuretic Dampness Excreting Drugs
凤尾草	Fengweicao	Pteridis Multifidae Herba	清热解毒药	Antipyretic Detoxicate Drugs
凤仙透骨草	Fengxiantougucao	Impatiens Balsamina	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
凤眼草	Fengyancao	Ailanthi Altissimae Fructus	清热解毒药	Antipyretic Detoxicate Drugs
佛手	Foshou	Citri Sarcodactylis Fructus	理气药	Qi Regulating Drugs
茯苓	Fuling	Poria Cocos(Schw.) Wolf.	利水渗湿药	Diuretic Dampness Excreting Drugs
浮萍	Fuping	Spirodelae Herba	辛凉解表药	Pungent Cool Diaphoretics
附子	Fuzi	Aconiti Lateralis Radix Praeparata	温里药	Warming Interior Drugs
覆盆子	Fupenzi	Rubi Fructus	收涩药	Astringent Medicinal
甘草	Gancao	licorice	补气药	Qi Reinforcing Drugs
甘松	Gansong	Nardostachyos Radix Et Rhizoma	理气药	Qi Regulating Drugs
甘遂	Gansui	Kansui Radix	通水药	Drastic Purgatives
干姜	Ganjiang	Zingiberis Rhizoma	温里药	Warming Interior Drugs
高良姜	Gaoliangjiang	Alpiniae Officinarum Rhizome	温里药	Warming Interior Drugs
藁本	Gaoben	Ligustici Rhizoma Et Radix	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
葛花	Gehua	Puerariae Flos	辛凉解表药	Pungent Cool Diaphoretics
功劳木	Gonglaomu	Mahoniae Caulis	清热解毒药	Antipyretic Detoxicate Drugs
钩藤	Gouteng	Uncariae Ramulus Cumuncis	平肝熄风药	Liver-Pacifying Wind-Extinguishing Medicinal
枸骨叶	Gouguye	Folium Ilicis Cornutae	清虚热药	Asthenic Heat Dispelling Drugs
枸杞子	Gouqizi	Lycii Fructus	补阴药	Yin-Tonifying Medicinal
谷精草	Gujingcao	Eriocauli Flos	清热泻火药	Fire Purging Drugs
骨碎补	Gusuibu	Drynariae Rhizoma	补阳药	Yang Reinforcing Drugs
瓜蒂	Guadi	Calyx Cucumis	涌吐药	Emetic Medicinal
瓜蒌	Gualou	Trichosanthes Kirilowii Maxim	化痰药	Phlegresolving Medicine
关黄柏	Guanhuangbo	Phellodendri Amurensis Cortex	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
贯叶金丝桃	Guanyejinsitao	Herbahypericiperforati	收敛止血药	Astringent Hemostatic Medicinal
贯众	Guanzhong	Fortunes Bossfern Rhizome	清热解毒药	Antipyretic Detoxicate Drugs
广藿香	Guanghuoxiang	Pogostemon Cablin (Blanco) Benth.	化湿药	Dampness Removing Drugs
广枣	Guangzao	Choerospondiatis Fructus	活血祛瘀药	Blood Activating Stasis Removing Drugs
鬼箭羽	Guijianyu	Euonymi Alati Ramulus	活血祛瘀药	Blood Activating Stasis Removing Drugs
鬼针草	Guizhencao	Bidentis Bipinnatae Herba	清热解毒药	Antipyretic Detoxicate Drugs
桂枝	Guizhi	Cinnamomi Ramulus	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
海风藤	Haifengteng	Caulis Piperis Kadsurae	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
海金沙	Haijinsha	Lygodii Spora	利水渗湿药	Diuretic Dampness Excreting Drugs
海桐皮	Haitongpi	Cortex Erythrinae	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
海藻	Haizao	Sargassum	化痰药	Phlegresolving Medicine
诃子	Hezi	Chebulae Fructus	收涩药	Astringent Medicinal
荷叶	Heye	Folium Nelumbinis	清热解毒药	Antipyretic Detoxicate Drugs
核桃仁	Hetaoren	Juglandis Semen	补阳药	Yang Reinforcing Drugs
鹤虱	Heshi	Carpesiumabrotanoidesl.	驱虫药	Antiparasitic Drugs
黑豆	Heidou	Sojae Semen Nigrum	补阴药	Yin-Tonifying Medicinal
黑老虎	Heilaohu	Kadsurae Coccineae Radix Et Caulis	理气药	Qi Regulating Drugs
黑芝麻	Heizhima	Sesami Nigrum Semen	补阴药	Yin-Tonifying Medicinal
红参	Hongshen	Ginsen Radix Et Rhizoma Rubra	补气药	Qi Reinforcing Drugs
红花	Honghua	Carthami Flos	活血祛瘀药	Blood Activating Stasis Removing Drugs
红芪	Hongqi	Hedysari Radix	补气药	Qi Reinforcing Drugs
猴枣	Houzao	Macacae Calcalus Gasteris	化痰药	Phlegresolving Medicine
厚朴	Houpu	Magnolia Officinalis Rehd Et Wils．	化湿药	Dampness Removing Drugs
胡黄连	Huhuanglian	Picrorhizae Rhizoma	清虚热药	Asthenic Heat Dispelling Drugs
胡椒	Hujiao	Piperis Fructus	温里药	Warming Interior Drugs
胡芦巴	Huluba	Trigonellae Semen	补阳药	Yang Reinforcing Drugs
槲寄生	Hujisheng	Viscum Angulatum Heyne	祛风湿筋骨药	Wind-Damp-Dispelling And Sinew-Bone-Strengthening Medicinal
虎耳草	Huercao	Saxifraga Stolonifera	清热解毒药	Antipyretic Detoxicate Drugs
虎杖	Huzhang	Polygoni Cuspidati Rhizoma Et Radix	利水渗湿药	Diuretic Dampness Excreting Drugs
花椒	Huajiao	Zanthoxyli Pericarpium	温里药	Warming Interior Drugs
花生衣	Huashengyi	Peanut Skin	收敛止血药	Astringent Hemostatic Medicinal
华山参	Huashanshen	Physochlainae Radix	止咳平喘药	Antitussive Antiasthmetics
化橘红	Huajuhong	Citri Grandis Exocarpium	理气药	Qi Regulating Drugs
槐花	Huaihua	Sophora Japonica L.	凉血止血药	Blood-Cooling Hemostatic Medicinal
槐角	Huaijiao	Fructussophorae	凉血止血药	Blood-Cooling Hemostatic Medicinal
黄柏	Huangbo	Phellodendri Chinrnsis Cortex	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
黄精	Huangjing	Polygonati Rhizoma	补阴药	Yin-Tonifying Medicinal
黄连	Huanglian	Coptidis Rhizoma	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
黄芪	Huangqi	Hedysarum Multijugum Maxim.	补气药	Qi Reinforcing Drugs
黄芩	Huangqin	Scutellariae Radix	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
黄药子	Huangyaozi	Dioscoreaebulbiferae	化痰药	Phlegresolving Medicine
火麻仁	Huomaren	Cannabis Sativa L.	润下药	Laxatives
鸡骨草	Jigucao	Abri Herba	利水渗湿药	Diuretic Dampness Excreting Drugs
鸡冠花	Jiguanhua	Celosia Cristata L.	收敛止血药	Astringent Hemostatic Medicinal
鸡屎藤	Jishiteng	Paederiae Scandentis Herba	消食药	Digestants
鸡血藤	Jixueteng	Spatholobus Suberectus Dunn	活血祛瘀药	Blood Activating Stasis Removing Drugs
积雪草	Jixuecao	Centella Asiatica (L.) Urban[Hydro-Cotyle Asiatica L.]	清热解毒药	Antipyretic Detoxicate Drugs
急性子	Jixingzi	Impatientis Semen	活血祛瘀药	Blood Activating Stasis Removing Drugs
蒺藜	Jili	Tribulifructus	平肝熄风药	Liver-Pacifying Wind-Extinguishing Medicinal
姜黄	Jianghuang	Curcumaelongae Rhizoma	活血祛瘀药	Blood Activating Stasis Removing Drugs
降香	Jiangxiang	Dalbergiae Odoriferae Lignum	理气药	Qi Regulating Drugs
绞股蓝	Jiaoguolan	Gynostemmae Pentaphylli Herba	补气药	Qi Reinforcing Drugs
芥子	Jiezi	Sinapis Semen	化痰药	Phlegresolving Medicine
金沸草	Jinfeicao	Inulae Herba	化痰药	Phlegresolving Medicine
金果揽	Jinguolan	Tinosporae Radix	清热解毒药	Antipyretic Detoxicate Drugs
金莲花	Jinlianhua	Trollius Chinensis	清热解毒药	Antipyretic Detoxicate Drugs
金钱草	Jinqiancao	Lysimachiae Herba	利水渗湿药	Diuretic Dampness Excreting Drugs
金荞麦	Jinqiaomai	Rhizoma Fagopyri Cymosi	清热解毒药	Antipyretic Detoxicate Drugs
金银花	Jinyinhua	Lonicerae Japonicae Flos	清热解毒药	Antipyretic Detoxicate Drugs
金樱子	Jinyingzi	Rosae Laevigatae Fructus	收涩药	Astringent Medicinal
金盏菊花	Jinzhanjuhua	Calendula Officinalis	凉血止血药	Blood-Cooling Hemostatic Medicinal
锦灯笼	Jindenglong	Calyx Seu Fructus Physalis	清热解毒药	Antipyretic Detoxicate Drugs
京大戟	Jingdaji	Radix Euphorbiae Pekinensis	通水药	Drastic Purgatives
荆芥	Jingjie	Schizonepetae Herba	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
荆芥穗	Jingjiesui	Schizonepetae Spica	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
景天三七	Jintiansanqi	Sedum Aizoon L.	化瘀止血药	Stasis-Resolving Hemostatic Medicinal
韭菜子	Jiucaizi	Allii Tuberosi Semen	补阳药	Yang Reinforcing Drugs
桔梗	Jiegeng	Platycodon Grandiforus	化痰药	Phlegresolving Medicine
菊花	Juhua	Chrysanthemi Flos	辛凉解表药	Pungent Cool Diaphoretics
菊苣	Juju	Cichorii Radix	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
橘核	Juhe	Citri Reticulatae Semen	理气药	Qi Regulating Drugs
橘红	Juhong	Citri Exocarpium Rubrum	理气药	Qi Regulating Drugs
橘络	Juluo	Citri Fructus Retinervus	理气药	Qi Regulating Drugs
橘叶	Juye	Citri Reticulatae Folium	理气药	Qi Regulating Drugs
卷柏	Juanbai	Herba Selaginellae Moellendorfii	化瘀止血药	Stasis-Resolving Hemostatic Medicinal
决明子	Juemingzi	Cassiae Semen	清热泻火药	Fire Purging Drugs
苦参	Kushen	Sophorae Flavescentis Radix	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
苦地丁	Kudiding	Corydalis Bungeanae Herba	清热解毒药	Antipyretic Detoxicate Drugs
苦丁茶	Kudingcha	Ilicis Cornutae Folium Immayuri	清热泻火药	Fire Purging Drugs
苦楝皮	Kulianpi	Meliae Cortex	驱虫药	Antiparasitic Drugs
苦楝子	Kulianzi	Meliae Azedarach Fructus	驱虫药	Antiparasitic Drugs
苦杏仁	Kuxingren	Amygdalus Communis Vas	止咳平喘药	Antitussive Antiasthmetics
款冬花	Kuandonghua	Farfarae Flos	止咳平喘药	Antitussive Antiasthmetics
昆布	Kunbu	Thalluslaminariae	化痰药	Phlegresolving Medicine
辣椒	Lajiao	Capsici Fructus	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
莱菔子	Laifuzi	Raphani Semen	消食药	Digestants
老鹳草	Laoguancao	Geranium Wilfordii Maxim.	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
了哥王根	Liaogewanggen	Wikstroemiae Indicae Rasix	清热解毒药	Antipyretic Detoxicate Drugs
雷公藤	Leigongteng	Tripterygii Radix	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
雷丸	Leiwan	Omphalia	驱虫药	Antiparasitic Drugs
荔枝核	Lizhihe	Litchi Semen	理气药	Qi Regulating Drugs
连钱草	Lianqiancao	Glechomae Herba	利水渗湿药	Diuretic Dampness Excreting Drugs
连翘	Lianqiao	Forsythiae Fructus	清热解毒药	Antipyretic Detoxicate Drugs
莲房	Lianfang	Receptaculum Nelumbinis	收敛止血药	Astringent Hemostatic Medicinal
莲须	Lianxu	Nelumbinis Stamen	收涩药	Astringent Medicinal
莲子心	Lianzixin	Nelumbinis Plumula	收涩药	Astringent Medicinal
两面针	Liangmianzhen	Zanthoxylum Nitidum	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
两头尖	Liangtoujian	Rhizoma Anemones Raddeanae	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
蓼大青叶	Liaodaqingye	Polygoni Tinctorii Foliu	清热解毒药	Antipyretic Detoxicate Drugs
灵芝	Lingzhi	Ganoderma	补气药	Qi Reinforcing Drugs
凌霄花	Lingxiaohua	Campsis Flos	活血祛瘀药	Blood Activating Stasis Removing Drugs
零陵香	Linglingxiang	Lysimachiae Foenigraeci Herba	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
龙胆	Longdan	Gentianae Radix Et Rhozima	清热燥湿药	Heat-Clearing And Dampnessdrying Medicinal
龙葵	Longkui	Solanum Nigrum Linn.	清热解毒药	Antipyretic Detoxicate Drugs
龙脷叶	Longliye	Aauropi Folium	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
漏芦	Loulu	Rhapontici Radix	清热解毒药	Antipyretic Detoxicate Drugs
芦根	Lugen	Phragmitis Rhizoma	清热泻火药	Fire Purging Drugs
芦荟	Luhui	Aloe	攻下药	Offensive Purgative Medicinal
鹿衔草	Luxiancao	Herba Pyrolae	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
路路通	Lulutong	Fructuslipuidambaris	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
罗布麻叶	Luobumaye	Apocyniveneti Folium	平肝熄风药	Liver-Pacifying Wind-Extinguishing Medicinal
罗汉果	Luohanguo	Momordicae Fructus	化痰药	Phlegresolving Medicine
络石藤	Luoshiteng	Trachelospermumjasminoides	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
绿豆	Lvdou	Vigna Radiata	清热解毒药	Antipyretic Detoxicate Drugs
葎草	Lvcao	Humulus Scandens (Lour.) Merr.	清热解毒药	Antipyretic Detoxicate Drugs
麻黄	Mahuang	Ephedra Herba	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
麻黄根	Mahuanggen	Ephedrae Radix Et Rhizoma	收涩药	Astringent Medicinal
马鞭草	Mabiancao	Verbenae Herb	活血祛瘀药	Blood Activating Stasis Removing Drugs
马勃	Mabo	Lasiosphaera Seu Calvatia	清热解毒药	Antipyretic Detoxicate Drugs
马齿苋	Machixian	Portulacae Herba	清热解毒药	Antipyretic Detoxicate Drugs
马兜铃	Madouling	Aristolochiae Fructus	止咳平喘药	Antitussive Antiasthmetics
