herb_cn_name	herb_pinyin	herb_en_name	child_cn_name	child_en_name
瞿麦	Qumai	Dianthi Herba	利水渗湿药	Diuretic Dampness Excreting Drugs
拳参	Quanshen	Bistortae Rhizoma	清热解毒药	Antipyretic Detoxicate Drugs
人参	Renshen	Panax Ginseng C. A. Mey.	补气药	Qi Reinforcing Drugs
人参叶	Renshenye	Ginseng Folium	补气药	Qi Reinforcing Drugs
肉苁蓉	Roucongrong	Cistanches Herba	补阳药	Yang Reinforcing Drugs
肉豆蔻	Roudoukou	Myristicae Semen	收涩药	Astringent Medicinal
肉桂	Rougui	Cinnanmomi Cortex	温里药	Warming Interior Drugs
乳香	Ruxiang	Olibanun	活血祛瘀药	Blood Activating Stasis Removing Drugs
蕤仁	Ruiren	Prinsepiae Nux	辛凉解表药	Pungent Cool Diaphoretics
三白草	Sanbaicao	Saururi Herba	利水渗湿药	Diuretic Dampness Excreting Drugs
三分三	Sanfensan	Anisodus Acutangulus C. Y. Wu Et C .Chen Ex C. Che	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
三棱	Sanleng	Sparganii Rhizoma	活血祛瘀药	Blood Activating Stasis Removing Drugs
三七	Sanqi	Panax Notoginseng (Burk.) F. H. Chen Ex C. Chow	化瘀止血药	Stasis-Resolving Hemostatic Medicinal
三七花	Sanqihua	Notoginseng Flos	清热解毒药	Antipyretic Detoxicate Drugs
桑白皮	Sangbaipi	Mori Cortex	止咳平喘药	Antitussive Antiasthmetics
桑寄生	Sangjisheng	Herba Taxilli	祛风湿筋骨药	Wind-Damp-Dispelling And Sinew-Bone-Strengthening Medicinal
桑椹	Sangsheng	Mori Fructus	补阴药	Yin-Tonifying Medicinal
桑叶	Sangye	Mori Follum	辛凉解表药	Pungent Cool Diaphoretics
桑枝	Sangzhi	Ramulus Mori	祛风湿清热药	Wind-Dampnessdispelling And Heatclearing Medicinal
沙棘	Shaji	Hippophae Fructus	化痰药	Phlegresolving Medicine
沙苑子	Shayuanzi	Astragali Cpmplanatisemen	补阳药	Yang Reinforcing Drugs
砂仁	Sharen	Amomum Aurantiacum H. T. Tsai Et S. W. Zhao	化湿药	Dampness Removing Drugs
山慈菇	Shancigu	Pseudobulbus Cremastrae Seu Pleiones	清热解毒药	Antipyretic Detoxicate Drugs
山豆根	Shandougen	Sophorae Tonkinensis Radix Et Rhizome	清热解毒药	Antipyretic Detoxicate Drugs
山柰	Shannai	Kaempferiae Rhizoma	温里药	Warming Interior Drugs
山药	Shanyao	Rhizoma Dioscoreae	补气药	Qi Reinforcing Drugs
山楂叶	Shanzhaye	Crataegi Folium	活血祛瘀药	Blood Activating Stasis Removing Drugs
山茱萸	Shanzhuyu	Cornus Officinalis Sieb. Et Zucc.	收涩药	Astringent Medicinal
商陆	Shanglu	Phytolaccae Radix	通水药	Drastic Purgatives
蛇床子	Shechuangzi	Cnidii Fructus	解毒杀虫燥湿止痒药	Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching
射干	Shegan	Belamcandae Rhizome	清热解毒药	Antipyretic Detoxicate Drugs
伸筋草	Shenjincao	Rhizome Of Whiteback Greenbrier	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
升麻	Shengma	Cimicifugae Rhizoma	辛凉解表药	Pungent Cool Diaphoretics
生姜	Shengjiang	Zingiber Officinale Roscoe	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
十大功劳根	Shidagonglaogen	Mahoniae Eadix	清热解毒药	Antipyretic Detoxicate Drugs
十大功劳叶	Shidagonglaoye	Mahoniae Folum	清热解毒药	Antipyretic Detoxicate Drugs
石菖蒲	Shichangpu	Acoritataninowii Rhizoma	开窍药	Resuscitative Stimulant; Resuscitative Medicinal
石见穿	Shijianchuan	Salviae Chinensis Herba	活血祛瘀药	Blood Activating Stasis Removing Drugs
石榴皮	Shiliupi	Granati Pericarpium	收涩药	Astringent Medicinal
石上柏	Shishangbai	Selaginella Doederleinii Hieron	清热解毒药	Antipyretic Detoxicate Drugs
石韦	Shiwei	Pyrrosiae Folium	利水渗湿药	Diuretic Dampness Excreting Drugs
使君子	Shijunzi	Quisqualis Indica	驱虫药	Antiparasitic Drugs
柿蒂	Shidi	Kaki Calyx	理气药	Qi Regulating Drugs
熟地黄	Shudihuang	Rehmanniae Radix Praeparata	补血药	Blood-Tonifying Medicinal
鼠曲草	Shuqucao	Gnaphalii Affinis Herba	化痰药	Phlegresolving Medicine
水飞蓟	Shuifeiji	Silybum Marianum	清热解毒药	Antipyretic Detoxicate Drugs
水红花子	Shuihonghuazi	Polygoni Orientalis Fructus	活血祛瘀药	Blood Activating Stasis Removing Drugs
四季青	Sijiqing	Ilicis Purpureae Folium	清热解毒药	Antipyretic Detoxicate Drugs
松花粉	Songhuafen	Pine Pollen	收敛止血药	Astringent Hemostatic Medicinal
松节	Songjie	Lignum Pini Nodi	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
松子仁	Songziren	Semen Pini Koraiensis	润下药	Laxatives
苏合香	Suhexiang	Styrax	开窍药	Resuscitative Stimulant; Resuscitative Medicinal
酸枣仁	Suanzaoren	Ziziphi Spinosae Semen	安神药	Tranguilizing Medicinal
娑罗子	Suoluozi	Semen Aesculi	理气药	Qi Regulating Drugs
太子参	Taizishen	Pseudostellariae Radix	补气药	Qi Reinforcing Drugs
檀香	Tanxiang	Santalum Album L．	理气药	Qi Regulating Drugs
桃仁	Taoren	Persicae Semen	活血祛瘀药	Blood Activating Stasis Removing Drugs
天冬	Tiandong	Asparagi Radix	补阴药	Yin-Tonifying Medicinal
天花粉	Tianhuafen	Trichosanthis Radix	清热泻火药	Fire Purging Drugs
天葵子	Tiankuizi	Semiaquilegiae Radix	清热解毒药	Antipyretic Detoxicate Drugs
天南星	Tiannanxing	Arisaematis Rhizoma	化痰药	Phlegresolving Medicine
天山雪莲	Tianshanxuelian	Saussureae Involucratae Herba	补阳药	Yang Reinforcing Drugs
