target_ID	TAR_ID	drugbank_ID	target_name	kegg
121	TAR00121	364	Corticosteroid 11-beta-dehydrogenase, isozyme 1	
123	TAR00123	369	Coagulation factor VII	
124	TAR00124	370	Urease	
125	TAR00125	377	Beta-adrenergic receptor kinase 1	
126	TAR00126	378	Alpha-2C adrenergic receptor	
127	TAR00127	379	HCMV DNA polymerase	
128	TAR00128	380	17 alpha-hydroxylase-C17, 20-lyase	
129	TAR00129	381	Prolactin receptor	
130	TAR00130	382	Glutamate receptor, ionotropic kainate 1	
131	TAR00131	385	Potassium-transporting ATPase alpha chain 1	
132	TAR00132	387	Diamine oxidase	
133	TAR00133	389	Acid-sensing ion channel ASIC1a/ASIC1b	
134	TAR00134	390	Adenosine A3 receptor	
135	TAR00135	392	Voltage-dependent P/Q-type calcium channel alpha-1A subunit	
136	TAR00136	400	Coagulation factor IX	
137	TAR00137	401	Glutamate [NMDA] receptor subunit zeta-1	
138	TAR00138	406	Prostaglandin E2 receptor, EP2 subtype	
139	TAR00139	407	Vascular endothelial growth factor receptor 2	
140	TAR00140	422	Vitamin K-dependent protein C	
141	TAR00141	423	Gamma-aminobutyric-acid receptor alpha-2 subunit	
142	TAR00142	427	Substance-P receptor	
143	TAR00143	428	Interferon-alpha/beta receptor	
144	TAR00144	430	Follicle stimulating hormone receptor	
145	TAR00145	432	D(4) dopamine receptor	
146	TAR00146	433	Synaptosomal-associated protein 25	
147	TAR00147	434	Alpha-N-acetylglucosaminidase	
148	TAR00148	435	Kynureninase	
149	TAR00149	436	5-hydroxytryptamine 2B receptor	
150	TAR00150	437	Leukocyte elastase	
151	TAR00151	447	Cholecystokinin type A receptor	
152	TAR00152	448	Vitamin K-dependent gamma-carboxylase	
153	TAR00153	449	Ornithine decarboxylase	
154	TAR00154	450	Muscarinic acetylcholine receptor M4	
155	TAR00155	451	Carnitine O-palmitoyltransferase I	
156	TAR00156	454	Estradiol 17 beta-dehydrogenase 4	
157	TAR00157	458	Neuronal acetylcholine receptor subunit alpha-10	
158	TAR00158	459	Retinoic acid receptor RXR-alpha	
159	TAR00159	462	Calcium-activated potassium channel	
160	TAR00160	463	Interleukin-11 receptor alpha chain	
161	TAR00161	464	Glutamate [NMDA] receptor subunit epsilon 2	
162	TAR00162	466	Solute carrier family 12 member 3	
163	TAR00163	467	Delta-type opioid receptor	
164	TAR00164	472	Ornithine aminotransferase, mitochondrial	
165	TAR00165	474	Acetylcholinesterase	
166	TAR00166	476	RAC-alpha serine/threonine kinase	
167	TAR00167	478	Voltage-dependent L-type calcium channel subunit alpha-1C	
168	TAR00168	479	Calcitonin receptor	
169	TAR00169	482	Glycine receptor alpha-1 chain	
170	TAR00170	483	mRNA of A-Raf	
172	TAR00172	485	CGMP-inhibited 3',5'-cyclic phosphodiesterase A	
173	TAR00173	492	Histamine H1 receptor	
174	TAR00174	494	Interleukin-1 beta convertase	
175	TAR00175	502	5-hydroxytryptamine 2A receptor	
176	TAR00176	503	Somatostatin receptor type 1	
177	TAR00177	504	Mast/stem cell growth factor receptor	
178	TAR00178	508	Ectonucleotide pyrophosphatase/phosphodiesterase 1	
179	TAR00179	510	Activin receptor-like kinase-1	
180	TAR00180	511	5-hydroxytryptamine 1F receptor	
181	TAR00181	523	Gamma-aminobutyric-acid receptor alpha-5 subunit	
182	TAR00182	527	Prostacyclin receptor	
183	TAR00183	528	5-hydroxytryptamine 1E receptor	
184	TAR00184	529	Ceramide glucosyltransferase	
185	TAR00185	535	Voltage-dependent T-type calcium channel alpha-1G subunit	
186	TAR00186	540	Sodium-dependent noradrenaline transporter	
187	TAR00187	541	CAMP-specific 3',5'-cyclic phosphodiesterase 4B	
188	TAR00188	545	Thyrotropin receptor	
189	TAR00189	546	Isoleucyl-tRNA synthetase, cytoplasmic (human)	
190	TAR00190	554	Low-density lipoprotein receptor	
191	TAR00191	556	Alpha-1A adrenergic receptor	
192	TAR00192	558	Solute carrier family 12 member 1	
194	TAR00194	563	Thyroid peroxidase	
195	TAR00195	565	Extracellular calcium-sensing receptor	
196	TAR00196	567	Receptor protein-tyrosine kinase erbB-2	
197	TAR00197	571	Melatonin receptor type 1A	
198	TAR00198	572	Lymphocyte function-associated antigen 1	
199	TAR00199	578	Endothelin-1 receptor	
200	TAR00200	580	Gamma-aminobutyric-acid receptor alpha-3 subunit	
201	TAR00201	584	Glucagon receptor	
202	TAR00202	586	Aspartate aminotransferase, cytoplasmic	
203	TAR00203	590	5-hydroxytryptamine 2C receptor	
204	TAR00204	592	Carbonic anhydrase IV	
205	TAR00205	596	3-oxo-5-alpha-steroid 4-dehydrogenase 1	
208	TAR00208	613	Atrial natriuretic peptide receptor A	
209	TAR00209	614	Progesterone receptor	
210	TAR00210	617	Muscarinic acetylcholine receptor M2	
212	TAR00212	622	Interleukin 1 receptor	
213	TAR00213	625	Glutamate carboxypeptidase II	
214	TAR00214	629	Alpha-2B adrenergic receptor	
216	TAR00216	632	Alpha-1B adrenergic receptor	
217	TAR00217	634	Squalene monooxygenase	
218	TAR00218	638	D(3) dopamine receptor	
219	TAR00219	642	3-oxo-5-alpha-steroid 4-dehydrogenase 2	
221	TAR00221	647	Integrin alpha-4	
222	TAR00222	650	Aldo-keto reductase family 1 member C3	
223	TAR00223	660	T-cell surface glycoprotein CD1a	
224	TAR00224	661	Adenine nucleotide translocator 1	
225	TAR00225	668	Glutamate--cysteine ligase regulatory subunit	
226	TAR00226	672	Prostaglandin F2-alpha receptor	
