disease_ID	DIS_ID	disease_name	ICD9	ICD10
720	DIS00720	Sepsis	995.0, 995.91	A40, A41, T78.2
721	DIS00721	Septic shock	785, 785.52	R57.8, R65.21
722	DIS00722	Severe acute respiratory syndrome		
723	DIS00723	Severe Acute Respiratory Syndrome(SARS)		
724	DIS00724	Severe Coronary Heart Disease	414	I25.1
725	DIS00725	Sexual arousal disorders	302.72	F52.22
726	DIS00726	Shy-Drager syndrome		
727	DIS00727	Sickle cell anemia	280-285	D50-D64
728	DIS00728	Sinoatrial node dysfunction		
729	DIS00729	Sitosterolemia		
730	DIS00730	Sjogren-Larsson syndrome	757.1	Q87.1
731	DIS00731	Sjogren's syndrome	710.2	M35.0
732	DIS00732	Skeletal disorders		
733	DIS00733	Skeletal muscle associated spasticity		
734	DIS00734	Skeletal muscle wasting		
735	DIS00735	Skeletal muscle weakness	728.87	M62.8
736	DIS00736	Skin cancer	172, 173	C43, C44
737	DIS00737	Skin diseases		
738	DIS00738	Skin Infections/Disorders	680-709	L00-L99
739	DIS00739	Sleeping Sickness		
740	DIS00740	Small cell lung cancer	140-229, 162, 162.9, 204.0	C00-C96, C33-C34, C34.90, C91.0
741	DIS00741	Smooth muscle hyperplasia		
742	DIS00742	Social phobias	300.23	F40.1
743	DIS00743	Solid Tumor	140-199, 200, 202, 202.8, 210-229	C00-C75, C7A, C7B, C81-C96, C82-C85, D10-D36, D3A
744	DIS00744	Solid tumors	140-199, 200, 202, 202.8, 210-229	C00-C75, C7A, C7B, C81-C96, C82-C85, D10-D36, D3A
745	DIS00745	Specific cognitive deficits associated with aging and neurological diseases		
746	DIS00746	Sphingolipid storage disorders		
747	DIS00747	Spinal and bulbar muscular atrophy	728.2	M62.5
748	DIS00748	Spinal Muscular Atrophy	335.0-335.1	G12.0-G12.1
749	DIS00749	Squamous cell carcinoma	199	C44
750	DIS00750	Stiff-man syndrome	333.91	G25.82
751	DIS00751	Stomatitis		
752	DIS00752	Streptococcus pneumoniae infections	001-139, 480-486, 770.0	A00-B99, J12, J13, J14, J15, J16, J17, J18, P23
753	DIS00753	Stress-related disorders	296	F30-F39
754	DIS00754	Stroke	434.91	I61-I63
755	DIS00755	Stromal ovarian tumors	140-199, 183, 210-229	C00-C75, C56, C7A, C7B, D10-D36, D3A
756	DIS00756	Substance-Related Disorders		
757	DIS00757	Sustained ventricular tachycardia	427, 427.1, 785.0	I47-I49, I47.2, R00.0
758	DIS00758	Syndrome of inappropriate secretion of antidiuretic hormone		
759	DIS00759	Systemic arterial vasodilation		
760	DIS00760	Systemic Lupus Erythematosus	710	
761	DIS00761	Systemic Lupus Erythematosus (SLE)	695, 710.0	L51-L54, M32
762	DIS00762	Systemic-onset juvenile idiopathic arthritis	710-719	M00-M25
763	DIS00763	T cell leukemias	208.9	C91-C95
764	DIS00764	T(4;14) myeloma	203	C90.0
765	DIS00765	Tardive dyskinesia	333.85	G24.0
766	DIS00766	T-cell proliferation		
767	DIS00767	Testicular cancer	140-229	C00-C96
768	DIS00768	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
769	DIS00769	Thromboembolic disease	437.6, 453, 671.5, 671.9	I80-I82
770	DIS00770	Thromboembolic disorders	437.6, 453, 671.5, 671.9	I80-I82
771	DIS00771	Thromboembolism	453	I80-I82
772	DIS00772	Thrombosis	414.8	I24.0
773	DIS00773	Thrombotic disease		
774	DIS00774	Thyroid follicular carcinoma		
775	DIS00775	Thyroid hormone resistance syndrome		
776	DIS00776	Thyrotoxicosis [hyperthyroidism]	242.9	E05
777	DIS00777	Tissue injury		
778	DIS00778	Tobacco Dependence	305.1	F17
779	DIS00779	Tobacco Use Disorder		
780	DIS00780	Torsades de Pointes		
781	DIS00781	Toxoplasma infections	001-139	A00-B99
