Mol_id	Molecule_name	PubChem_CID	Molecule_structure	Molecule_formula	Molecule_weight	OB_score	CAS_id	TCMID_id	TCM-ID_id	TCMSP_id	Version	Type	Link_ingredient_id	Suppress
2452	Beta-Hydro-Xyisovalerylshikonin			C21H24O7				23276|24746	6278		v1		2274	1
2453	14-Formyldihydro Rutaecarpine			C19H15N3O2				24686|7901	9317		v1,v2		2243	1
2456	Azetidine-2-Carboxylic Acid	17288		C4H7NO2				2057|24688	6448		v1,v2		2244	1
2457	Hexahydro-Farnesyl-Acetone			C18H36O	268.481		502-69-2	23757|23775|24145	3735		v1		1880	1
2458	2,4-Dihydroxy Acetophenone	6990		C8H8O3	152.148		89-84-9	24993|30473	8898		v1,v2		2375	1
