Pinyin Name	Chinese Name	Composition	Indication	Method	Pinyin composition	Reference
JIA WEI CAN XIA TANG	加味参夏汤	人参1两半，半夏1两半，肉桂1两，甘草（炙）5钱，乳香3钱。	七情相干，眩晕欲倒；又治七情之气郁于心腹，不可忍，脉沉迟者。	每服5钱，加生姜5片，水煎服。	REN CAN,BAN XIA,ROU GUI,GAN CAO,RU XIANG,	《赤水玄珠》卷十六。
HUANG QI WAN	黄耆丸	黄耆1两（锉），木香1两，漏芦1两，枳壳1两（麸炒微黄，去瓤），玄参1两，犀角屑1两，桔梗1两（去芦头），牛蒡子2两（微炒），川大黄1两（锉碎，微炒）。	瘰疬结肿生脓。	每服20丸，空心及晚食前以粥饮送下。	HUANG QI,MU XIANG,LOU LU,ZHI KE,XUAN CAN,XI JIAO XIE,JIE GENG,NIU BANG ZI,CHUAN DA HUANG,	《圣惠》卷六十六。
HUAN CHANG TANG	缓肠汤	人参（去芦）1两，白术1两，当归（去芦并土）1两，白茯苓1两，厚朴（去粗皮，生姜制）1两，白芍药1两，炙甘草1两，阿胶（蛤粉炒，去粉）2两，黄耆（蜜炙）2两，陈粳米（炒）2两，御米壳3两（蜜炙）。	蛊利。下血如赤水豆汁，腹痛。	每服2钱，水1盏，加生姜3片，枣1个，同煎至5分，去滓，空腹食前温服，1日3次。	REN CAN,BAI ZHU,DANG GUI,BAI FU LING,HOU PO,BAI SHAO YAO,ZHI GAN CAO,A XIAO,HUANG QI,CHEN GENG MI,YU MI KE,	《卫生总微》卷十一。
