Syndrome_id	Syndrome_name	Syndrome_English	Syndrome_PinYin	Syndrome_definition	Version	Type	Suppress
1	下元虚冷	deficiency-cold of kidney	Xia Yuan Xu Leng	肾阳虚证是指肾阳亏虚，机体失其温煦，以腰膝酸冷、性欲减退、夜尿多及阳虚症状为主要表现的证。	v1,v2	Summarized terms	0
2	下脘虚冷	deficiency-cold of abdomen	Xia Wan Xu Leng	肾阳虚证是指肾阳亏虚，机体失其温煦，以腰膝酸冷、性欲减退、夜尿多及阳虚症状为主要表现的证。	v2	Summarized terms	0
3	中气下陷	sinking of the middle qi	Zhong Qi Xia Xian	脾虚气陷证是指脾气虚弱，升举无力而反下陷，以眩晕、泄泻、脘腹重坠、内脏下垂及气虚症状为主要表现的证。脾虚气陷证又名中气下陷证。	v2	Summarized terms	0
4	久病虚羸	the debility from chronic illness	Jiu Bing Xu Lei		v2	Summarized terms	0
5	乳食停滞	milk stagnation	Ru Shi Ting Zhi	是脾胃虚弱，乳食停滞不化而出现的证候。	v2	Summarized terms	0
