Pinyin Name	Chinese Name	English Name	Latin Name	Properties	Meridians	Use Part	Effect	Indication	Ingredients
TIAN MEN DONG	天门冬	Cochinchinese Asparagus	Asparagus cochinchinensis  [Syn.  Asparagus lucidus ]	Sweet, bitter,Extremely cold	Lung,kidney	tuberoid	To enrich  yin and moisten dryness, clear lung and downbear fire.	Yin vacuity fever, cough with blood ejection, lung wilting, pulmonary  welling abscess, swelling pain in throat, diabetes mellitus, constipation.	1908,E|14018,T5787|14016,E|13838,E|23344,M1053|24126,M1053|6089,E|24128,M1053|1907,E|1905,E|18696,E|6439,C0330|14038,E|9545,E|19375,E|18042,E|1863,E|1865,E|1864
ZE LAN	泽兰	Shiny Bugleweed	Lycopus lucidus	Bitter, pungent,slightly warm	Liver,spleen	aerial parts	To quicken blood and transform stasis, move water and disperse swelling, resolve toxin and eliminate welling abscess.	Amenorrhea, concretion and conglomeration, postpartum blood stasis abdominal pain, edema in body and face, knocks and falls, incised wound.	20239,M1082|13217,E;M1082|13228,T6610|18511,M1082|21451,T6610|6177,E|
WU ZHAO LONG	五爪龙	Cairo Morningglory	Ipomoea cairica  [Syn.  Ipomoea palmata ]	Cold,Sweet,Bitter	Lung,Large Intestine,Liver	Root or stem-leaf	To clear heat and resolve toxin, disinhibit water and free strangury.	Lung heat cough, inhibited urination, strangury, edema, swollen welling abscess and toxin of clove.	1621,E;T5979|18983,M733|18208,M733|24245,M733|899,M733|21474,E|15078,E|23999,M733|15797,E|7232,T5979|21477,T5979|7231,E|23374,M733|15068,M733|15079,T5979|24796,
