MM_symptom_id	MM_symptom_name	MM_symptom_definition	UMLS_id	MeSH_tree_numbers	OMIM_id	ICD10CM_id	HPO_id	MeSH_id	Version	Suppress
1	Postoperative Pain	MSH2017_2016_08_12:Pain during the period after surgery.|NCI2016_02D:A sensation of discomfort secondary to surgery.	C0030201	C10.597.617.841|C23.550.767.700|C23.888.592.612.832		G89.18		D010149	v1	0
2	Panic State	MSH2017_2016_08_12:A state of extreme acute, intense anxiety and unreasoning fear accompanied by disorganization of personality function.|NCI2016_02D:A sudden and overwhelming sense of fear characterized by the inability to function as normal.|NCI2016_NCI-GLOSS_1602D:Sudden extreme anxiety or fear that may cause irrational thoughts or actions. Panic may include rapid heart rate, flushing (a hot, red face), sweating, and trouble breathing.	C0030318	F01.470.361.585		F41.0		D010200	v1,v2	0
3	Rash	HPO2016_07_04:A red eruption of the skin. [HPO:probinson]|MEDLINEPLUS_20151021:<p>A rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin. Rashes are a symptom of many different medical problems. Other causes include irritating substances and allergies. Certain genes can make people more likely to get rashes.</p> <p>Contact dermatitis is a common type of rash. It causes redness, itching, and sometimes small bumps. You get the rash where you have touched an irritant, such as a chemical, or something you are allergic to, like <a href='https://www.nlm.nih.gov/medlineplus/poisonivyoakandsumac.html'>poison ivy</a>.</p> <p>Some rashes develop right away. Others form over several days. Although most rashes clear up fairly quickly, others are long-lasting and need long-term treatment.</p> <p>Because rashes can be caused by many different things, it's important to figure out what kind you have before you treat it. If it is a bad rash, if it does not go away, or if you have other symptoms, you should see your health care provider. Treatments may include moisturizers, lotions, baths, cortisone creams that relieve swelling, and antihistamines, which relieve itching.</p>|MSH2017_2016_08_12:Diseases in which skin eruptions or rashes are a prominent manifestation. Classically, six such diseases were described with similar rashes; they were numbered in the order in which they were reported. Only the fourth (Duke's disease), fifth (ERYTHEMA INFECTIOSUM), and sixth (EXANTHEMA SUBITUM) numeric designations survive as occasional synonyms in current terminology.|NCI2016_02D:A widespread, acute rash.(NICHD)|NCI2016_02D:Any change in the skin which affects its appearance or texture. A rash may be localized to one part of the body, or affect all the skin. Rashes may cause the skin to change color, itch, become warm, bumpy, dry, cracked or blistered, swell and may be painful.|NCI2016_NICHD_1602D:A widespread, acute rash.|NCI2016_NICHD_1602D:An eruption in the skin which affects its appearance and/or texture.	C0015230	C17.800.257	MTHU008860|MTHU047706|MTHU011109	R21	HP:0000988	D005076	v1,v2	0
4	Aphonia Paralytica		C0264599	C08.360.940.160|C09.400.940.160|C10.597.975.100|C23.888.592.979.100				D001044	v1,v2	0
5	Dyssomnia	CHV2011_02:a group of disorders characterized by difficulty in going to sleep or staying asleep or excessive daytime sleepiness|MSH2017_2016_08_12:A broad category of sleep disorders characterized by either hypersomnolence or insomnia. The three major subcategories include intrinsic (i.e., arising from within the body) (SLEEP DISORDERS, INTRINSIC), extrinsic (secondary to environmental conditions or various pathologic conditions), and disturbances of circadian rhythm. (From Thorpy, Sleep Disorders Medicine, 1994, p187)|NCI2016_02D:A question about whether an individual has or had a problem with their sleep.	C0700201	C10.886.425|F03.870.400				D020920	v1,v2	0
