dbPTH ID	Protein Accession	Protein Name	Gene	Ingredient	PubChem	Chemical Subtype	Protein Subgroups	Specie
PTHT0000272	A0A0G2JGF1	Interleukin 6 receptor, alpha	Il6ra	Cysteine	5862	Small peptides	Secreted_Protein@Membrane_Receptor	Mus musculus (Mouse)
PTHT0000272	A0A0G2JGF1	Interleukin 6 receptor, alpha	Il6ra	alpha-D-Mannopyranose	185698	Saccharides	Secreted_Protein@Membrane_Receptor	Mus musculus (Mouse)
PTHT0000272	A0A0G2JGF1	Interleukin 6 receptor, alpha	Il6ra	beta-D-Mannopyranose	439680	Saccharides	Secreted_Protein@Membrane_Receptor	Mus musculus (Mouse)
PTHT0000272	A0A0G2JGF1	Interleukin 6 receptor, alpha	Il6ra	Hexose	206	Saccharides	Secreted_Protein@Membrane_Receptor	Mus musculus (Mouse)
PTHT0000272	A0A0G2JGF1	Interleukin 6 receptor, alpha	Il6ra	DL-Cysteine	594	Small peptides	Secreted_Protein@Membrane_Receptor	Mus musculus (Mouse)
