Disease_id	Disease_Name	Disease_definition	MeSH_id	OMIM_id	Orphanet_id	ICD10CM_id	UMLS_id	MedDRA_id
5035	Congenital Adrenal Hyperplasia Due To 11-Beta-Hydroxylase Deficiency	Congenital adrenal hyperplasia due to 11 beta-hydroxylase (CYP11B1) deficiency is a rare form of congenital adrenal hyperplasia (CAH; see this term) characterized by glucocorticoid deficiency, hyperandrogenism, hypertension and virilization in females.	C535978	202010	90795	E25.0	C0268292	10000002
78	46,Xy Disorder Of Sex Development Due To 5-Alpha-Reductase 2 Deficiency	46, XY disorder of sex development (DSD; see this term) due to 5-alpha-reductase 2 (SRD5A2) deficiency is a disorder of sex development due to a defect in testosterone (T) metabolism resulting in incomplete intrauterine masculinization. Patients present an ambiguous external genitalia which varies from a female with a blind vaginal pouch to a fully male phenotype with pseudovaginal posterior hypospadias (see this term) or only micropenis.		264600	753	Q56.1	C3669122|C0268297	10000029
1870	Achondroplasia	Achondroplasia is the most common form of chondrodysplasia, characterized by rhizomelia, exaggerated lumbar lordosis, brachydactyly, and macrocephaly with frontal bossing and midface hypoplasia.	D000130	100800	15	Q77.4	C0001080	10000452
2319	Achromatopsia	Achromatopsia (ACHM) is a rare autosomal recessive retinal disorder characterized by color blindness, nystagmus, photophobia, and severely reduced visual acuity due to the absence or impairment of cone function.		613856|616517|262300|216900|610024|613093	49382		C0152200	10000454
4697	Acromegaly	Acromegaly is an acquired disorder related to excessive production of growth hormone (GH) and characterized by progressive somatic disfigurement (mainly involving the face and extremities) and systemic manifestations.	D000172	102200|300943	963	E22.0	C0001206	10000599
