ID	STITCH ID	PubChem ID	Formula	name	SMILE String
1	CID005315111	5315111	Cl2O4	abamagenin	CC1COC2(CC1C(Cl)Cl)C(C3C(O2)CC4C3(CCC5C4CC=C6C5([C@@H](C[C@@H](C6)O)O)C)C)C
2	NA	Not Available	C20H34O3	(+)-(4→2)-abeo-kolavelool-3-oicacid	Not Available
3	CID005316953	5316953	C20H28O2	abieta-8,12-dien-11,14-dione	CC(C)C1=CC(=O)C2=C(C1=O)CCC3[C@@]2(CCCC3(C)C)C
