MOL_id	Molecule_name	Molecule_structure	Molecule_formula	Molecule_weight	OB_score	Alias	PubChem_id	CAS_id	TCMID_id	TCM-ID_id	TCMSP_id
1	Anthocyanidin			251.22	45.59739165			84082-34-8	24151	6745	MOL000001
2	Luteolin		C15H10O6	286.25	36.16262934	luteolin-7-olate anion|CHEBI:57545|A827664|2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxo-4H-chromen-7-olate|4-(5,7-dihydroxy-4-oxo-1-benzopyran-2-yl)-2-hydroxyphenolate|2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-oxylato-4H-1-benzopyran-4-one|4-[5,7-bis(oxidanyl)-4-oxidanylidene-chromen-2-yl]-2-oxidanyl-phenolate|2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxo-4H-chromen-7-olate luteolin-7-olate(1-)	25201972	491-70-3	13130	2858	MOL000006
3	Apigenin		C15H10O5	270.25	23.06216102	apigenin-7-olate|CHEBI:58470|A828903|5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-chromen-7-olate|7-hydroxy-2-(4-hydroxyphenyl)-4-oxo-1-benzopyran-5-olate|2-(4-hydroxyphenyl)-7-oxidanyl-4-oxidanylidene-chromen-5-olate	25200950	520-36-5	1476	6735	MOL000008
4	Luteolin-7-O-Glucoside		C21H20O11	448.41	7.292677359	NSC700145|Luteolin 7-galactoside|ST024704|2-(3,4-Dihydroxyphenyl)-5-hydroxy-4-oxo-4H-chromen-7-yl hexopyranoside|2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)(2H-3,4 ,5,6-tetrahydropyran-2-yloxy)]chromen-4-one|68321-11-9|Luteolin-7-glucosid|AC1NRHCY|SCHEMBL149119|MEGxp0_000562|SCHEMBL19523005|MolPort-002-708-422|NSC724451|STK763169|AKOS001483348|AKOS021983229|Luteolin-7-O-.beta.-D-glucopyranoside|MCULE-8064140924|NSC-700145|NSC-724451|NCGC00017208-02|NCGC00142376-01|NCI60_035927|A2306/0097227|2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-(4,5,6-trihydroxy-3-(hydroxymethyl)(2-oxanyloxy))-4H-chromen-4-one|2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one|2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-chromen-4-one|2-(3,4-DIHYDROXYPHENYL)-5-HYDROXY-7-{[3,4,5-TRIHYDROXY-6-(HYDROXYMETHYL)OXAN-2-YL]OXY}CHROMEN-4-ONE	5291488	26811-41-6	23182	2853	MOL000009
5	Glucobrassicin		C16H20N2O9S2	430.48	53.64015202	Glucobrassicin|indolylmethyl glucosinolate|3-Indolylmethylglucosinolate|Glucobrassicine|DNDNWOWHUWNBCK-LDADJPATSA-N|1-S-[(1E)-2-(1H-Indol-3-yl)-N-(sulfooxy)ethanimidoyl]-1-thiohexopyranose #	9601691	4356-52-9	8588	3974	MOL000014|MOL001750
