MOL_ID	molecule_ID	molecule_name	mw	hdon	hacc	alogp	halflife	ob	caco2	bbb	dl	FASA	tpsa	rbn
MOL000001	1	anthocyanidin	251.220	2	4	1.510	1.830779	45.5973916475	-3.14159	-3.14159	0.18968	0.31907761	74.82	1
MOL000002	2	cyanidol	287.260	5	6	1.666		1.3646428372	0.16978	-0.51200	0.24431	0.34187388	114.29	1
MOL000003	3	MTL	182.200	6	6	-2.940		17.7345429325	-1.57836	-4.07164	0.033683	0.18464184	121.38	5
MOL000098	98	quercetin	302.250	5	7	1.504	14.400548	46.4333481195	0.04842	-0.76890	0.27525	0.38453352	131.36	1
MOL000358	358	beta-sitosterol	414.790	1	1	8.084	5.355491	36.9139058327	1.32463	0.98588	0.75123	0.22550575	20.23	6
MOL000422	422	kaempferol	286.250	4	6	1.771	14.743371	41.8822495352	0.26096	-0.55335	0.24066	0	111.13	1
MOL001454	1454	berberine	336.390	0	4	3.447	6.565936	36.8612450372	1.24179	0.56718	0.77665	0.19133656	40.8	2
