TCM_symptom_id	TCM_symptom_name	Symptom_pinYin	Symptom_definition	Symptom_locus	Symptom_property	Type	Version	Suppress
1	嗳气	Ai Qi	嗳气（belching）是胃中气体上出咽喉所发出的声响，其声长而缓，俗称“打饱嗝”、“饱嗝”，是各种消化道疾病常见的症状之一。尤其是反流性食管炎、慢性胃炎、消化性溃疡和功能性消化不良等疾病，多伴有嗳气症状。自胃部上升的气体或酸性液体导致嗳气（呃逆）发生，伴有典型的响声。嗳气可因不同病因在持续时间和响度上发生改变。在过去几十年中发生的一些重要事件使人们对功能性胃肠病（FGID）有了更深入的了解。罗马III标准中将功能性胃十二指肠疾病的症状分为3类：功能性消化不良、嗳气和恶心呕吐。嗳气又分为：吞气症和非特异性过度嗳气。	胃肠	胃气上逆	Ontological terms	v1,v2	0
2	白带色乳白	Bai Dai Se Ru Bai	白带是女性正常情况下由阴道粘膜渗出物、宫颈管及子宫内膜腺体分泌物混合而成，并与雌激素的作用有关，会随着月经周期的不同发生变化，从阴道分泌而出。在正常的情况下，白带应该是透明发亮、白色稀糊状或蛋清样，带有粘稠性，量少，同时没有任何腥臭味，对女性的健康无不良影响，称为生理性白带。与生理性白带相比较，无论是从颜色、性质、气味等方面来说，病理性白带的性状都有很大的不同。病理性白带可分为非炎症性白带、炎症性白带、异物刺激性白带、其他阴道排除物。	子宫	带脉失约	Synonymous terms	v1,v2	0
3	白带淸稀	Bai Dai Qing Xi	指阴道分泌物的减少	子宫	肾阳不足		v1	1
4	白带增多	Bai Dai Zeng Duo	指阴道分泌物的增加	子宫	带脉失约	Synonymous terms	v1,v2	0
5	白发	Bai Fa	白发指头发全部或部分变白白发分有老年白发和少白发	头	血虚	Ontological terms	v1,v2	0
