Herb_id	Chinese_name	Pinyin_name	Latin_name	English_name	Properties	Meridians	Function	Class_Chinese	Class_English	UsePart	TCMID_id	TCM-ID_id	TCMSP_id
1	矮地茶	Ai Di Cha	Ardisiae japonicae	Japanese Ardisia Herb	Mild,Pungent,Bitter	Lung,Liver	1. To eliminate phlegm and relieving cough.2. To promote diuresis to deprive dampness. 3. To activate blood circulation and stop bleeding.	止咳平喘药	Antitussive Antiasthmetics		5072	2	1
2	艾叶	Ai Ye	Folium Artemisiae Argyi	leaf of Argy Wormwood	Warm,Pungent,Bitter	Spleen,Liver,Kidney	1. To warm the channels and stop bleeding. 2. To dispel cold and stop pain	温经止血药	Channel-Warming Hemostatic	leaf	6336	3	2
3	安息香	An Xi Xiang	Benzoinum	Benzoin	Mild,Pungent,Bitter	Spleen,Heart	To restore consciousness. To activate the flow of qi and blood. To relieve pain.	开窍药	Resuscitative Stimulant; Resuscitative Medicinal	balsam	8019	6	3
4	八角茴香	Ba Jiao Hui Xiang	Fructus Anisi Stellati	Chinese Star Anise	Warm,Pungent	Spleen,Stomach,Liver,Kidney	To dispel cold to regulate the flow of qi and to relieve pain.	温里药	Warming Interior Drugs		6861	10	4
5	八角莲	Ba Jiao Lian		Dysosmae Verspiellis Rhixoma Et Radix				清热解毒药	Antipyretic Detoxicate Drugs				5
